Industry,Sector
Discount Stores,Consumer Defensive
Household & Personal Products,Consumer Defensive
Beverages - Non-Alcoholic,Consumer Defensive
Beverages - Brewers,Consumer Defensive
Tobacco,Consumer Defensive
Confectioners,Consumer Defensive
Beverages - Wineries & Distilleries,Consumer Defensive
Packaged Foods,Consumer Defensive
Food Distribution,Consumer Defensive
Grocery Stores,Consumer Defensive
Farm Products,Consumer Defensive
Education & Training Services,Consumer Defensive
Beverages—Non-Alcoholic,Consumer Defensive
Beverages—Brewers,Consumer Defensive
Beverages—Wineries & Distilleries,Consumer Defensive
